language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
acu,69,67,0.718,to suck,chupar,apáatin,
agr,70,70,0.717,to carry,carry (bear),'ɨmat,
hub,70,70,0.717,to carry,cargar,takustasa/takamu/takut,p145
jiv,70,70,0.717,to carry,cargar,enkektin/turunktin,p124
acu,70,70,0.717,to carry,,,"p380, check with others"
agr,71,71,0.716,ant,ant,wisut,
hub,71,71,0.716,ant,hormiga,NA,p174
jiv,71,71,0.716,ant,hormiga,weeka ánin/chunkiamár,p353
acu,71,71,0.716,ant,hormiga,"masaran, masárant ",
agr,72,71,0.716,heavy,heavy,ki'hin,
hub,72,71,0.716,heavy,pesado,kijin,p196
jiv,72,71,0.716,heavy,pesado,kijin,p523
acu,72,71,0.716,heavy,pesado,méram,
agr,73,71,0.716,to take,take,umut,
hub,73,71,0.716,to take,tomar,umartasa/umamu/umut,p215
jiv,73,71,0.716,to take,tomar,achik,p626
jiv,73,71,0.716,to take,tomar,umut,p626
acu,73,71,0.716,to take,tomar,"amúrtin, umúrtin, múrtin. ",
agr,74,74,0.715,old,old,muun-tuč,
hub,74,74,0.715,old,viejo (anciano),ashan/ashantan/uuntach/uuntachin,p220
jiv,74,74,0.715,old,viejo,untach,p660
jiv,74,74,0.715,old,viejo,yaunchunia,p660
acu,74,74,0.715,old,viejo (anciano),weámrau,
agr,75,75,0.714,to eat,eat,yuwamu,
hub,75,75,0.714,to eat,comer,yuatsa/yuamut/yuta,p149
jiv,75,75,0.714,to eat,comer,yurumatin/nucher,p145
acu,75,75,0.714,to eat,comer,yúwatin,
agr,76,76,0.712,thigh,thigh,baku,
hub,76,76,0.712,thigh,muslo,maku/makun,p188
jiv,76,76,0.712,thigh,muslo,maku,p470
acu,76,76,0.712,thigh,muslo,máku,
agr,77,76,0.712,thick,thick (in dimension),kam'puham,
hub,77,76,0.712,thick,grueso,kampuram,p171
jiv,77,76,0.712,thick,grueso,kámpuram/núparam,p336
acu,77,76,0.712,thick,"grueso (sogas, plátanos, yucas)",ápu,
acu,77,76,0.712,thick,"grueso (papel, tela)","nupáram, tuup",
agr,78,78,0.707,long,long,ɨ'saham,
hub,78,78,0.707,long,largo,asaram,p178
jiv,78,78,0.707,long,largo,esaram,p406
jiv,78,78,0.707,long,largo,nuntúaru,p406
jiv,78,78,0.707,long,largo,nuntúuntut,p406
acu,78,78,0.707,long,largo,"apiáng, sáram, esáram. ",
agr,79,79,0.706,to blow,blow,umpuut,
hub,79,79,0.706,to blow,soplar,umpuartasa/umpuamu/umput,p212
jiv,79,79,0.706,to blow,soplar,umpuar,p602
acu,79,79,0.706,to blow,,,p498
agr,80,80,0.705,wood,wood,numi,
hub,80,80,0.705,wood,madera,numi/numin,p182
jiv,80,80,0.705,wood,madera,numi katsurmari,p426
acu,80,80,0.705,wood,tabla de madera,táu,
acu,80,80,0.705,wood,madera no aserrada,trúngku,
agr,81,81,0.704,to run,run,tupikaut,
hub,81,81,0.704,to run,correr,tsekegtasa/tsekeamu/tseket,p151
jiv,81,81,0.704,to run,correr,tsékentin,p167
acu,81,81,0.704,to run,correr,ampúktin,
agr,82,81,0.704,to fall,fall,iyaut,
hub,82,81,0.704,to fall,caer,iyartasa/iyamu/iyat,p143
jiv,82,81,0.704,to fall,caer,ajuartin/ajunktin/iniartin,p114
acu,82,81,0.704,to fall,,,p377
agr,83,83,0.703,eye,eye,hii,
hub,83,83,0.703,eye,ojo,ji/jin,p190
jiv,83,83,0.703,eye,ojo,jii,p492
jiv,83,83,0.703,eye,ojo,entsa kayanmaya jiniu,p492
acu,83,83,0.703,eye,ojo,jii,
agr,84,84,0.699,ash,ashes,yuku,
hub,84,84,0.699,ash,ceniza,pushurin/pushurnun,p146
hub,84,84,0.699,ash,ceniza,yugkunim/yugkunmin,p146
jiv,84,84,0.699,ash,ceniza,yunkunim,p131
acu,84,84,0.699,ash,ceniza,yukúu,
agr,85,84,0.699,tail,tail,uhu'kɨ,
hub,85,84,0.699,tail,cola,ujuke/ujuken,p148
jiv,85,84,0.699,tail,cola,ujuké,p143
jiv,85,84,0.699,tail,cola,yamín umútai,p143
acu,85,84,0.699,tail,cola,"ujuké, juké.",
agr,86,84,0.699,dog,dog,ya'wa,
